path,y_true,resnet_score,resnet_pred,resnet_latency_ms,yolo_enh_score,yolo_enh_pred,yolo_enh_latency_ms,yolo_ls_score,yolo_ls_pred,yolo_ls_latency_ms
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3598.jpg,1,0.01041923277080059,0,823.0457079989719,0.8868579268455505,1,1120.930834000319,0.0,0,151.21604100204422
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3586.jpg,1,0.016680268570780754,0,84.55970799695933,0.8973194360733032,1,90.87883300162503,0.0,0,89.30250000048545
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3594.jpg,1,0.00984958279877901,0,83.58066700020572,0.896418571472168,1,91.73812500011991,0.0,0,89.81254200261901
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3588.jpg,1,0.01047575194388628,0,86.00195800318033,0.8806285858154297,1,90.50650000062888,0.0,0,88.82366600300884
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/both/IMG_3627.jpg,0,0.031245669350028038,0,102.8403749987774,0.9403204321861267,1,111.83941700073774,0.9059308171272278,1,114.86804100059089
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/both/IMG_3628.jpg,0,0.03717867657542229,0,100.09708300276543,0.9362181425094604,1,120.8861250015616,0.9054450392723083,1,114.2555420010467
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3600.jpg,1,0.00479915551841259,0,82.06362499913666,0.874485969543457,1,89.99066700198455,0.0,0,87.89233399875229
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3595.jpg,1,0.01235270407050848,0,86.5677500005404,0.8965177536010742,1,92.17212500152527,0.0,0,96.28829199937172
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/defect/IMG_3583.jpg,1,0.005157880485057831,0,84.52091599974665,0.8801168203353882,1,88.3249580001575,0.0,0,90.38987500025542
/Users/ducle/Library/CloudStorage/OneDrive-RMITUniversity/Courses/OENG1183 - Capstone A/abb-capstone/data/choco-pie/both/IMG_3616.jpg,0,0.07186506688594818,0,96.13312500005122,0.9342150092124939,1,102.03416600052151,0.8881524801254272,1,102.78537499834783
